benchmark,shell,width,trial,wall_real_s,user_s,sys_s
wf,bash,1,1,85.774,74.941,10.786
wf,pash,1,1,198.636,168.237,29.354
wf,pash,2,1,106.481,174.498,34.155
wf,pash,4,1,58.446,181.346,37.947
wf,pash,8,1,34.051,182.642,43.019
wf,pash,16,1,23.608,191.378,51.344
spell,bash,1,1,120.162,106.576,13.517
spell,pash,1,1,151.134,112.126,38.032
spell,pash,2,1,84.053,119.343,44.904
spell,pash,4,1,47.519,126.407,49.857
spell,pash,8,1,29.109,127.372,56.852
spell,pash,16,1,22.288,135.38,66.369
sort-sort,bash,1,1,26.715,12.47,14.223
sort-sort,pash,1,1,39.292,14.354,24.224
sort-sort,pash,2,1,23.648,15.636,27.311
sort-sort,pash,4,1,15.317,18.506,32.958
sort-sort,pash,8,1,12.623,20.383,40.768
sort-sort,pash,16,1,12.881,21.987,50.39
wf,bash,1,2,86.015,75.153,10.766
wf,pash,1,2,199.017,168.475,29.423
wf,pash,2,2,106.546,174.886,34.073
wf,pash,4,2,58.405,181.217,37.402
wf,pash,8,2,33.969,182.084,43.057
wf,pash,16,2,23.358,191.35,51.723
spell,bash,1,2,119.969,106.452,13.451
spell,pash,1,2,151.054,112.175,37.698
spell,pash,2,2,84.107,119.017,45.371
spell,pash,4,2,48.504,126.744,49.876
spell,pash,8,2,29.137,128.529,57.418
spell,pash,16,2,22.127,136.307,66.449
sort-sort,bash,1,2,26.92,12.454,14.433
sort-sort,pash,1,2,40.124,14.412,25.053
sort-sort,pash,2,2,23.688,15.621,28.479
sort-sort,pash,4,2,15.213,18.368,32.906
sort-sort,pash,8,2,12.36,20.413,40.941
sort-sort,pash,16,2,12.844,21.757,50.79
wf,bash,1,3,85.952,75.091,10.811
wf,pash,1,3,199.204,168.597,29.491
wf,pash,2,3,106.59,174.346,34.353
wf,pash,4,3,58.423,181.176,37.831
wf,pash,8,3,33.892,182.184,43.208
wf,pash,16,3,23.731,191.363,52.295
spell,bash,1,3,119.73,106.189,13.475
spell,pash,1,3,151.06,111.847,38.238
spell,pash,2,3,83.811,118.659,45.25
spell,pash,4,3,47.899,126.835,49.871
spell,pash,8,3,29.124,127.973,57.02
spell,pash,16,3,21.974,135.22,66.156
sort-sort,bash,1,3,26.956,12.522,14.413
sort-sort,pash,1,3,40.035,14.302,24.977
sort-sort,pash,2,3,23.634,15.653,28.185
sort-sort,pash,4,3,15.118,18.305,32.811
sort-sort,pash,8,3,12.575,20.179,40.638
sort-sort,pash,16,3,12.924,21.822,50.352
